id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately provides the SLA for handling P1 tickets, including both the response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key points from the gold answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The generated answer covers all key points and details mentioned in the gold answer without any omissions.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately specifies the necessary approvals required to grant Level 3 access, addressing the user's query completely.",5,Retrieved: 1/1 expected sources,5,Covers all key points and mentions all necessary approvers for Level 3 access as stated in the gold answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect, but it does not explicitly mention the requirement to submit the request within 7 days or the conditions regarding the order not being used or opened, which are important for a complete understanding.",5,"The answer directly and accurately addresses the query about the refund policy for digital products, specifying that refunds are not typically allowed unless there is a manufacturer error.",5,Retrieved: 1/1 expected sources,3,"The generated answer covers the main point that digital products are non-refundable but misses the specific mention of 'license key' and 'subscription' as examples, as well as the explicit statement of the refund policy.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,5,"Covers all key points, including the number of failed login attempts and the method to unlock the account.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately explains how escalation occurs in a P1 incident, including the specific time frame for escalation.",5,Retrieved: 1/1 expected sources,5,"The generated answer covers all key points from the gold answer, including the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes after the ticket is created.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately identifies the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,1,The generated answer only mentions the old name of the document and does not include the updated name or any additional context provided in the gold answer.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau thời gian thử việc, với sự phê duyệt của Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query about the maximum number of remote work days per week for employees.,5,Retrieved: 1/1 expected sources,5,"The generated answer covers all key points from the gold answer, including the maximum number of remote days (2 days/week), the condition of being after the probation period, and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer 'Tôi không biết' does not provide any information that contradicts or adds to the context, and it is a valid response given the lack of specific information requested.",1,The answer does not address the query at all and provides no relevant information.,,No expected sources,1,Generated answer misses all core information from the gold answer and does not provide any relevant details or context.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer accurately reflects the context provided, stating that there is no specific information about an emergency refund process for VIP customers, which aligns with the lack of such details in the context.",1,The answer does not address the query at all and provides no relevant information regarding the refund process for VIP customers.,5,Retrieved: 1/1 expected sources,1,"The generated answer misses most core information from the gold answer, failing to mention that there is no special process for VIP customers and that all refund requests follow the standard procedure.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately provides the SLA for handling P1 tickets, including both the initial response time and the resolution time.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key points from the gold answer, including the initial response time and the resolution time for P1 tickets.",variant_hybrid_rerank
