id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ so với phiên bản trước [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer accurately reflects the information in the context, stating that the SLA for P1 ticket resolution has changed from 6 hours to 4 hours, which is explicitly supported by the provided context.",5,"The answer directly and accurately addresses the query by stating the specific change in SLA for P1 tickets, providing a clear comparison to the previous version.",5,Retrieved: 1/1 expected sources,3,The generated answer covers the main point of the SLA change from 6 hours to 4 hours but misses details about the version numbers and the effective date of the current version.,baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,All information in the answer is explicitly supported by the context.,5,The answer directly addresses the user's query about the maximum number of devices that can be connected to a VPN while working remotely.,5,Retrieved: 2/2 expected sources,3,"The generated answer provides the main point about the maximum number of devices (2) but misses important details such as the requirement of using VPN for remote work, the specific VPN software (Cisco AnyConnect), and the reference to HR Leave Policy and IT Helpdesk FAQ.",baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền, vì sản phẩm đã áp dụng mã giảm giá đặc biệt và đã được kích hoạt hoặc đăng ký tài khoản [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately addresses the query about whether orders from the Flash Sale program that have activated products can be refunded, stating that they cannot be refunded.",5,Retrieved: 1/1 expected sources,3,"The generated answer covers the main points about the non-refundable nature of the order and mentions the activation of the product and the use of a discount code. However, it misses the explicit mention of the two specific exceptions and the reference to the policy's Article 3, which are important details in the gold answer.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query by stating that the store credit is 110% of the original amount.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately states that customers can choose store credit at 110% of the original amount, which aligns with the gold answer. It also captures the optional nature of this choice.",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Tôi không biết.,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",5,"The answer 'Tôi không biết' does not provide any information that contradicts or goes beyond the context provided, and it accurately reflects a lack of knowledge regarding the specific details in the context.",1,The answer does not address the query at all and provides no relevant information.,5,Retrieved: 1/1 expected sources,1,The generated answer does not provide any relevant information regarding the query and misses all core details from the gold answer.,baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, nếu không có ticket chính thức, quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately outlines the specific process for granting temporary permissions to an engineer during a P1 incident, including the duration of the permissions and the requirement for logging.",5,Retrieved: 2/2 expected sources,3,The generated answer covers the main points about the temporary permission process and the duration but misses the detail about contacting on-call via hotline and the SLA for P1 incidents.,baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"The answer 'Tôi không biết' does not provide any information that contradicts or adds to the context, and it accurately reflects a lack of knowledge regarding the provided information.",1,The answer does not provide any relevant information regarding the penalty for violating the SLA commitment.,,No expected sources,1,"The generated answer does not provide any information related to the penalties or handling of SLA P1 violations, missing the core information from the gold answer.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [3]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp, cần giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query by providing the required notice period for annual leave and clarifying the difference with the notice period for sick leave.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key points from the gold answer, including the requirement to notify at least 3 days in advance for annual leave and the condition regarding medical documentation for sick leave over 3 consecutive days. It also clarifies that the two '3-day' requirements apply to different situations.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu cần được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately addresses the query about the need to change the company account password, the frequency of change, and the reminder period.",5,Retrieved: 1/1 expected sources,3,"The generated answer covers the main points about the password change frequency and the reminder period, but it misses the details about how to change the password and the contact information for Helpdesk.",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately addresses the query about the refund policy for orders placed before February 1, 2026, and provides additional context regarding the applicable refund policy version.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately states that the current refund policy does not apply to orders placed before 01/02/2026 and correctly references the previous version of the refund policy, covering all key points and details from the gold answer.",baseline_dense
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ cho quy trình khắc phục (resolution) trong phiên bản cập nhật v2026.1 [2].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"All information in the answer is explicitly supported by the context, specifically regarding the change in SLA for ticket P1 resolution in version v2026.1.",5,The answer directly and accurately addresses the query by specifying the change in SLA for P1 tickets from 6 hours to 4 hours in the mentioned version.,5,Retrieved: 1/1 expected sources,3,The generated answer covers the main point of the SLA change from 6 hours to 4 hours but misses details about the effective date and the fact that the previous version did not change the SLA.,variant_hybrid_rerank
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Bạn có thể kết nối VPN trên tối đa 2 thiết bị cùng lúc [2].,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,All information in the answer is explicitly supported by the context.,5,The answer directly addresses the user's query about the maximum number of devices that can be connected to a VPN while working remotely.,5,Retrieved: 2/2 expected sources,3,The generated answer provides the main point about the maximum number of devices (2) but misses important details such as the requirement of using VPN for remote work and the specific software (Cisco AnyConnect) mentioned in the gold answer.,variant_hybrid_rerank
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền, vì sản phẩm đã áp dụng mã giảm giá đặc biệt và đã được kích hoạt hoặc đăng ký tài khoản [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately addresses the query about whether orders from the Flash Sale program that have activated products can be refunded, stating that they cannot be refunded.",5,Retrieved: 1/1 expected sources,3,"The generated answer covers the main points about the non-refundable nature of the order and mentions the activation of the product, but it misses the specific mention of the two exceptions and the reference to the policy details.",variant_hybrid_rerank
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit, bạn sẽ được 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,The answer accurately reflects the information provided in the context about receiving store credit at 110% of the original amount.,5,The answer directly and accurately addresses the query by stating that the store credit is 110% of the original amount.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately states that customers can choose store credit for 110% of the original amount, which aligns with the gold answer. It also captures the essence of the option being voluntary.",variant_hybrid_rerank
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access tạm thời trong trường hợp khẩn cấp, tối đa 24 giờ sau khi được Tech Lead phê duyệt. Sau 24 giờ, cần có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly addresses the query about whether external contractors can be granted Admin Access, provides specific conditions under which this can happen, and mentions the approval process and time frame, thus fully answering the user's question.",5,Retrieved: 1/1 expected sources,1,"The generated answer only mentions that contractors can be granted temporary Admin Access in emergencies, but it fails to cover the approval requirements from IT Manager and CISO, the processing time of 5 working days, and the mandatory training on security policy. It misses most core information from the gold answer.",variant_hybrid_rerank
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời cho engineer trong sự cố P1 như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately outlines the specific process for granting temporary permissions to an engineer during a P1 incident, including the duration of the permissions and the requirement for logging.",5,Retrieved: 2/2 expected sources,3,"The generated answer covers the main points regarding the temporary permission process and its duration, but it misses the detail about contacting on-call through the hotline for P1 incidents.",variant_hybrid_rerank
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"The answer 'Tôi không biết' does not provide any information relevant to the questions asked in the context, indicating a significant lack of information and no support from the provided context.",1,The answer does not provide any relevant information regarding the penalty for violating the SLA commitment.,,No expected sources,1,The generated answer does not provide any information related to the query and misses all core information from the gold answer.,variant_hybrid_rerank
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp [1], do đó không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query by providing the required notice period for annual leave and clarifying the difference with the notice period for sick leave.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key points from the gold answer, including the requirement to notify at least 3 working days in advance for annual leave and the condition regarding medical documentation for sick leave exceeding 3 consecutive days. It also clarifies that the two '3-day' requirements apply to different situations.",variant_hybrid_rerank
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,All information in the answer is explicitly supported by the context.,5,"The answer directly and accurately addresses the query about the need to change the company account password periodically, specifies the time frame for changing the password, and mentions the reminder period.",5,Retrieved: 1/1 expected sources,3,The generated answer covers the main points about the password change frequency and the reminder period but misses the details about how to change the password and the contact information for Helpdesk.,variant_hybrid_rerank
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,All information in the answer is explicitly supported by the context.,5,The answer directly and accurately addresses the query about the current refund policy and its applicability to orders placed before the specified date.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately states that the current refund policy does not apply to orders placed before 01/02/2026 and correctly references the previous version of the refund policy, covering all key points and details from the gold answer.",variant_hybrid_rerank
